iter	Passed	Remaining
256	785	2271
257	787	2264
258	788	2257
259	790	2249
260	792	2242
261	793	2235
262	794	2227
263	796	2220
264	799	2218
265	802	2213
266	803	2205
267	804	2198
268	806	2191
269	807	2184
270	809	2177
271	810	2170
272	815	2170
273	817	2165
274	818	2159
275	820	2152
276	822	2145
277	823	2138
278	825	2132
279	828	2130
280	830	2124
281	832	2118
282	833	2112
283	835	2105
284	836	2098
285	837	2092
286	839	2085
287	841	2079
288	844	2077
289	845	2071
290	848	2066
291	849	2060
292	851	2055
293	853	2050
294	855	2044
295	857	2040
296	859	2034
297	861	2028
298	862	2022
299	864	2016
300	865	2010
301	867	2004
302	868	1998
303	870	1992
304	873	1990
305	875	1985
306	877	1980
307	878	1974
308	880	1968
309	882	1963
310	883	1957
311	885	1951
312	888	1950
313	891	1946
314	892	1941
315	894	1935
316	896	1931
317	898	1926
318	900	1922
319	906	1925
320	907	1920
321	910	1916
322	911	1911
323	913	1905
324	915	1900
325	919	1900
326	921	1896
327	922	1890
328	924	1886
329	926	1880
330	927	1875
331	929	1869
332	931	1865
333	934	1864
334	937	1861
335	939	1856
336	940	1851
337	942	1845
338	943	1840
339	945	1836
340	949	1835
341	952	1832
342	953	1827
343	955	1821
344	956	1816
345	958	1812
346	960	1807
347	963	1805
348	965	1801
349	967	1797
350	969	1791
351	970	1786
352	972	1782
353	974	1777
354	975	1772
355	978	1769
356	980	1766
357	982	1761
358	983	1756
359	985	1751
360	987	1747
361	988	1742
362	990	1738
363	994	1738
364	997	1735
365	999	1730
366	1001	1727
367	1002	1722
368	1004	1717
369	1005	1712
370	1009	1712
371	1011	1708
372	1013	1704
373	1015	1699
374	1017	1695
375	1018	1690
376	1019	1685
377	1023	1683
378	1025	1681
379	1027	1676
380	1029	1672
381	1030	1667
382	1032	1662
383	1033	1658
384	1035	1654
385	1038	1652
386	1040	1648
387	1042	1644
388	1043	1639
389	1045	1635
390	1047	1630
391	1048	1626
392	1050	1622
393	1053	1620
394	1055	1616
395	1056	1611
396	1058	1606
397	1059	1602
398	1061	1598
399	1062	1593
400	1064	1589
401	1065	1585
402	1069	1583
403	1070	1579
404	1072	1575
405	1073	1570
406	1074	1565
407	1076	1561
408	1077	1557
409	1079	1552
410	1080	1548
411	1083	1546
412	1085	1543
413	1087	1539
414	1089	1535
415	1091	1531
416	1092	1527
417	1094	1523
418	1095	1519
419	1098	1516
420	1100	1513
421	1101	1509
422	1103	1504
423	1104	1500
424	1106	1496
425	1107	1492
426	1109	1488
427	1110	1484
428	1113	1482
429	1115	1478
430	1116	1474
431	1118	1470
432	1119	1466
433	1121	1462
434	1122	1458
435	1124	1454
436	1125	1450
437	1128	1448
438	1130	1444
439	1131	1440
440	1133	1436
441	1134	1432
442	1136	1428
443	1137	1424
